channel	beta	pruning_threshold	film_max_t	film_min_t	seeds	final_acc	comm_gb	minus6_acc
awgn	0.001	1.0	0.7	0.4	1,2	43.31	20.81	42.30
awgn	0.005	1.0	0.7	0.4	1,2	42.75	16.72	42.67
awgn	0.010	1.0	0.7	0.4	1,2	42.72	15.59	42.28
awgn	0.050	1.0	0.7	0.4	1,2	41.68	13.35	41.69
awgn	0.001	1.5	0.7	0.4	1,2	41.41	10.12	39.12
awgn	0.100	0.5	0.7	0.4	1,2	41.17	15.49	40.32
awgn	0.050	0.5	0.7	0.4	1,2	41.16	17.45	40.81
awgn	0.005	0.5	0.7	0.4	1,2	40.97	30.35	40.09
awgn	0.010	0.5	0.7	0.4	1,2	40.73	23.42	39.41
awgn	0.100	1.0	0.7	0.4	1,2	40.37	12.76	39.48
awgn	0.005	1.5	0.7	0.4	1,2	40.20	9.82	38.56
awgn	0.010	1.5	0.7	0.4	1,2	39.74	8.92	29.46
awgn	0.001	0.5	0.7	0.4	1,2	38.36	40.08	38.92
awgn	0.100	1.5	0.7	0.4	1,2	30.60	8.28	13.77
awgn	0.050	1.5	0.7	0.4	1,2	23.14	8.23	15.32
rayleigh	0.100	1.0	0.7	0.4	1,2	41.95	14.51	39.32
rayleigh	0.010	1.0	0.7	0.4	1,2	41.91	19.15	39.37
rayleigh	0.005	1.0	0.7	0.4	1,2	41.86	20.66	39.86
rayleigh	0.010	0.5	0.7	0.4	1,2	40.95	27.42	39.01
rayleigh	0.050	1.0	0.7	0.4	1,2	40.58	15.62	38.39
rayleigh	0.050	0.5	0.7	0.4	1,2	39.93	19.71	37.61
rayleigh	0.001	1.5	0.7	0.4	1,2	39.66	10.20	31.98
rayleigh	0.001	1.0	0.7	0.4	1,2	38.84	25.91	37.86
rayleigh	0.100	0.5	0.7	0.4	1,2	38.83	17.57	36.72
rayleigh	0.001	0.5	0.7	0.4	1,2	38.73	44.76	37.34
rayleigh	0.005	1.5	0.7	0.4	1,2	38.67	9.26	27.02
rayleigh	0.005	0.5	0.7	0.4	1,2	38.55	34.14	37.09
rayleigh	0.010	1.5	0.7	0.4	1,2	36.78	9.30	27.46
rayleigh	0.050	1.5	0.7	0.4	1,2	19.09	8.23	13.08
rayleigh	0.100	1.5	0.7	0.4	1,2	14.84	8.19	11.43
