Compress_Dim,Beta,Threshold,Accuracy,Comm_Cost
64,0.01,0.001,39.54 ± 2.93,7987.6 ± 36.2
64,0.001,0.05,38.01 ± 5.84,7759.3 ± 106.1
64,0.01,0.05,37.69 ± 6.18,6974.1 ± 140.5
64,0.005,0.05,37.58 ± 4.16,7088.9 ± 41.0
64,0.01,0.1,36.22 ± 5.34,6815.9 ± 39.5
64,0.001,0.01,35.66 ± 8.73,8094.4 ± 1.3
64,0.005,0.01,35.38 ± 3.30,7633.5 ± 74.4
64,0.005,0.001,34.85 ± 8.67,8032.7 ± 30.8
64,0.001,0.001,34.82 ± 6.37,8096.1 ± 0.0
64,0.01,0.01,34.34 ± 6.36,7201.7 ± 93.3
64,0.001,0.1,32.99 ± 12.41,7617.1 ± 126.5
64,0.005,0.1,32.00 ± 5.50,6963.9 ± 88.9
128,0.01,0.001,38.12 ± 8.06,10656.5 ± 82.0
128,0.001,0.05,37.05 ± 3.68,10071.2 ± 184.4
128,0.005,0.1,35.92 ± 6.25,8373.7 ± 115.5
128,0.001,0.001,35.16 ± 7.89,10940.4 ± 1.1
128,0.001,0.01,35.07 ± 6.51,10920.2 ± 24.3
128,0.005,0.05,34.78 ± 7.00,8775.8 ± 163.3
128,0.001,0.1,34.23 ± 6.30,9422.7 ± 139.1
128,0.005,0.001,34.18 ± 5.61,10816.4 ± 48.8
128,0.01,0.01,33.30 ± 8.19,9002.2 ± 282.5
128,0.005,0.01,33.25 ± 8.54,9648.4 ± 285.0
128,0.01,0.05,32.78 ± 9.69,8454.8 ± 198.6
128,0.01,0.1,32.65 ± 9.53,8160.5 ± 77.6
256,0.005,0.05,42.03 ± 3.03,17233.4 ± 1.5
256,0.01,0.1,41.97 ± 3.89,17038.3 ± 243.8
256,0.01,0.05,41.69 ± 2.81,17213.4 ± 32.9
256,0.001,0.05,41.49 ± 3.62,17234.3 ± 0.1
256,0.005,0.1,41.27 ± 4.40,17232.4 ± 2.2
256,0.001,0.1,40.81 ± 1.89,17233.8 ± 0.3
256,0.001,0.001,36.39 ± 5.52,17229.3 ± 3.2
256,0.01,0.01,34.87 ± 3.91,14268.9 ± 964.9
256,0.001,0.01,33.93 ± 7.69,17185.2 ± 33.1
256,0.005,0.01,33.37 ± 8.97,15027.7 ± 259.6
256,0.01,0.001,32.52 ± 1.74,16519.0 ± 427.8
256,0.005,0.001,32.01 ± 5.01,17012.9 ± 131.7
